City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,25.86,78,13,6.68,PF,1675812610
1,arlit,18.7369,7.3853,22.68,15,100,1.91,NE,1675813102
2,vostok,46.4856,135.8833,-16.14,91,100,2.39,RU,1675813014
3,sept-iles,50.2001,-66.3821,-6.0,83,75,7.2,CA,1675813103
4,rikitea,-23.1203,-134.9692,26.44,70,84,5.01,PF,1675812836
5,garoua,9.3,13.4,24.59,17,88,0.59,CM,1675813103
6,yerbogachen,61.2767,108.0108,-29.89,100,97,1.05,RU,1675813108
7,cape town,-33.9258,18.4232,21.32,73,0,9.77,ZA,1675812665
8,arraial do cabo,-22.9661,-42.0278,23.98,90,90,1.2,BR,1675812902
9,tiksi,71.6872,128.8694,-33.8,100,100,2.1,RU,1675812963
10,albany,42.6001,-73.9662,3.03,53,100,2.24,US,1675812590
11,zabaykalsk,49.6333,117.3167,-22.8,100,56,2.83,RU,1675813112
12,lavrentiya,65.5833,-171.0,-24.19,85,100,1.2,RU,1675812935
13,namatanai,-3.6667,152.4333,27.73,76,100,2.38,PG,1675813112
14,bluff,-46.6,168.3333,11.56,66,73,11.35,NZ,1675812892
15,port alfred,-33.5906,26.891,20.66,92,100,1.79,ZA,1675812838
16,sao filipe,14.8961,-24.4956,20.33,65,4,4.45,CV,1675812835
17,atar,20.5169,-13.0499,16.35,25,94,5.4,MR,1675813115
18,ushuaia,-54.8,-68.3,12.81,44,0,1.54,AR,1675812834
19,horka nad moravou,49.6401,17.2107,-3.1,85,10,2.48,CZ,1675813116
20,korla,41.7597,86.1469,-1.54,85,63,1.22,CN,1675812950
21,pevek,69.7008,170.3133,-29.94,94,100,1.62,RU,1675812889
22,qaanaaq,77.484,-69.3632,-31.31,65,77,2.55,GL,1675812900
23,meulaboh,4.1363,96.1285,23.77,83,100,1.17,ID,1675813116
24,faanui,-16.4833,-151.75,27.18,74,31,5.57,PF,1675813116
25,provideniya,64.3833,-173.3,-18.94,71,100,5.0,RU,1675812829
26,caetite,-14.0694,-42.475,20.66,60,4,1.23,BR,1675812646
27,punta arenas,-53.15,-70.9167,16.06,63,40,4.63,CL,1675812775
28,basoko,1.2391,23.616,25.44,45,98,1.39,CD,1675813117
29,hobart,-42.8794,147.3294,16.81,60,75,4.63,AU,1675812851
30,dzhebariki-khaya,62.2167,135.8,-44.95,100,100,0.56,RU,1675813025
31,taldan,53.6667,124.8,-32.65,100,57,1.05,RU,1675813127
32,hilo,19.7297,-155.09,26.82,94,75,3.09,US,1675812879
33,tasiilaq,65.6145,-37.6368,-16.91,35,2,17.27,GL,1675813076
34,ponta delgada,37.7333,-25.6667,13.4,82,20,7.2,PT,1675813047
35,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,0.0,CA,1675812976
